Source;Length
Small site;2,56
Small site;3,26
Small site;2,767
Small site;3,885
Small site;3,901
Small site;0,255
Small site;4,725
Small site;4,216
Small site;4,967
Small site;2,56
Small site;2,968
Small site;3,011
Small site;3,85
Small site;1,018
Small site;1,094
Small site;1,263
Small site;1,39
Small site;4,397
Small site;0,214
Small site;0,544
Small site;3,448
Small site;2,548
Small site;2,189
Small site;2,995
Small site;1,417
Small site;3,474
Small site;3,273
Small site;4,405
Small site;1,849
Small site;4,421
Small site;1,792
Small site;0,864
Small site;3,785
Small site;4,349
Small site;4,467
Small site;4,935
Small site;4,405
Small site;3,671
Small site;1,456
Small site;1,1
Small site;1,284
Small site;2,477
Small site;2,569
Small site;3,61
Small site;3,902
Small site;3,993
Small site;4,025
Small site;4,176
Small site;4,229
Small site;4,379
Small site;4,432
Small site;4,464
Small site;4,487
Small site;4,8
Small site;0,214
Small site;0,328
Small site;0,376
Small site;1,44
Small site;2,44
Small site;2,538
Small site;2,6
Small site;3,802
Small site;4,128
Small site;4,906
Small site;1,474
Small site;1,533
Small site;1,67
Small site;1,771
Small site;0,712
Small site;0,963
Small site;0,56
Small site;0,544
Small site;3,546
Small site;3,627
Small site;3,371
Small site;2,592
Small site;2,67
Small site;2,725
Small site;3,017
Small site;3,007
Small site;1,888
Small site;3,124
Small site;2,929
Small site;4,002
Small site;1,629
Small site;4,005
Small site;1,542
Small site;1,357
Small site;1,379
Small site;3,353
Small site;4,857
Small site;3,894
Small site;4,011
Small site;4,462
Small site;3,934
Small site;3,193
Small site;4,766
Small site;4,614
Small site;0,942
Small site;1,119
Small site;1,284
Small site;1,356
Small site;2,086
Small site;2,139
Small site;3,205
Small site;3,286
Small site;3,461
Small site;3,57
Small site;3,59
Small site;3,996
Small site;3,706
Small site;3,799
Small site;3,966
Small site;3,964
Small site;4,001
Small site;3,998
Small site;4,304
Small site;4,529
Small site;4,903
Small site;4,977
Small site;0,885
Small site;0,929
Small site;0,68
Small site;0,58
Small site;0,571
Small site;0,338
Small site;0,444
Small site;3,291
Small site;2,025
Small site;1,663
Small site;1,641
Small site;1,704
Small site;3,049
Small site;2,47
Small site;2,515
Small site;2,62
Small site;2,544
Small site;3,099
Small site;3,082
Small site;2,88
Small site;3,048
Small site;2,153
Small site;3,175
Small site;2,46
Small site;2,342
Small site;3,352
Small site;3,358
Small site;4,811
Small site;3,666
Small site;2,198
Small site;2,301
Small site;4,102
Small site;4,029
Small site;4,11
Small site;3,851
Small site;3,024
Small site;3,418
Small site;3,184
Small site;2,915
Small site;3,154
Small site;3,123
Small site;3,207
Small site;3,025
Small site;3,163
Small site;3,995
Small site;1,917
Small site;3,234
Small site;3,977
Small site;1,808
Small site;2,822
Small site;1,608
Small site;1,59
Small site;1,737
Small site;1,557
Small site;3,329
Small site;3,397
Small site;3,279
Small site;3,327
Small site;3,537
Small site;4,029
Small site;3,75
Small site;3,943
Small site;3,783
Small site;4,147
Small site;3,772
Small site;2,427
Small site;2,162
Small site;2,145
Small site;2,225
Small site;3,524
Small site;3,454
Small site;3,448
Small site;3,305
Small site;2,894
Small site;2,795
Small site;2,966
Small site;3,075
Small site;3,006
Small site;2,81
Small site;3,597
Small site;3,499
Small site;3,594
Small site;3,486
Small site;3,51
Small site;3,386
Small site;3,544
Small site;2,68
Small site;4,527
Small site;4,457
Small site;3,678
Small site;2,928
Small site;2,978
Small site;2,649
Small site;2,765
Small site;2,556
Small site;2,841
Small site;2,861
Small site;3,485
Small site;3,42
Small site;3,545
Small site;3,823
Small site;4,53
Small site;1,351
Small site;1,05
Small site;1,32
Small site;4,66
Small site;4,509
Small site;4,153
Small site;3,623
Small site;4,493
Small site;4,342
Small site;3,675
Small site;3,728
Small site;4,049
Small site;4,259
Small site;4,595
Small site;4,725
Small site;4,801
Small site;4,877
Small site;0,179
Small site;4,521
Small site;1,862
Small site;2,633
Small site;2,981
Small site;3,766
Small site;0,201
Small site;0,928
Small site;4,29
Small site;4,372
Small site;4,11
Small site;3,184
Small site;3,827
Small site;2,627
Small site;2,491
Small site;2,771
Small site;2,712
Small site;2,359
Small site;2,746
Small site;2,591
Small site;2,695
Small site;2,146
Small site;3,392
Small site;1,891
Small site;2,698
Small site;3,351
Small site;1,764
Small site;2,331
Small site;2,527
Small site;1,54
Small site;2,454
Small site;4,2
Small site;2,683
Small site;4,044
Small site;3,107
Small site;3,215
